tag_id,evidence_type,model_families
env.ae.commercial_branding,computed,metric_computation
env.ae.crowded_space,computed,metric_computation
env.ae.fractal-like_pattern,computed,metric_computation
env.ae.glare_present,computed,metric_computation
env.ae.high_cleanliness,computed,metric_computation
env.ae.high_color_contrast,computed,metric_computation
env.ae.high_contrast_lighting,computed,metric_computation;photometric_metrics
env.ae.high_fractal_dimension_(2d),computed,metric_computation
env.ae.high_illuminance,computed,metric_computation;photometric_metrics
env.ae.high_orderliness,computed,metric_computation
env.ae.high_saturation,computed,metric_computation
env.ae.high_spatial_frequency_content,computed,metric_computation;spatial_metrics
env.ae.high_symmetry,computed,metric_computation
env.ae.low_illuminance,computed,metric_computation;photometric_metrics
env.ae.low_orderliness,computed,metric_computation
env.ae.low_saturation,computed,metric_computation
env.ae.low_symmetry,computed,metric_computation
env.ae.narrow_corridor,computed,metric_computation
env.ae.occluded_sightlines,computed,metric_computation
env.ae.poor_visibility_/_dark_corners,computed,metric_computation
env.ae.private/enclosed_niche,computed,metric_computation
env.ae.public/exposed_area,computed,metric_computation
env.ae.strong_central_landmark,computed,metric_computation
env.ae.uniform_lighting,computed,metric_computation;photometric_metrics
env.v1_023.point_vs_diffuse_illumination,computed,metric_computation;photometric_metrics
env.v1_109.angular_vs_curvilinear,computed,metric_computation
env.v1_124.water_features,computed,metric_computation
env.v1_128.nature_vs_urban_view,computed,metric_computation
env.v2a_002.warm_vs_cool_white_appearance_cct_and_perceived_coziness_activation_cajochen_et,computed,metric_computation;photometric_metrics
env.v2a_070.prospect_refuge_ability_to_see_without_being_seen,computed,metric_computation
env.v2a_076.perceived_territoriality_defined_zones_vs_ambiguous_shared_space,computed,metric_computation
env.v2a_078.visual_access_to_outdoors_nature_as_escape_affordance,computed,metric_computation
env.v2a_098.natural_materials_wood_stone,computed,metric_computation
env.v2a_125.information_control_clear_wayfinding_reduces_uncertainty,computed,metric_computation
materials.cues.value_mean,computed,metric_computation
env.ae.hard_reflective_surfaces,image_2d,scene_classification
env.ae.hard_seating,image_2d,scene_classification
env.ae.high_texture_complexity,image_2d,ocr_text
env.ae.home-like_decor,image_2d,scene_classification
env.ae.indoor-outdoor_continuity,image_2d,scene_classification
env.ae.institutional_decor,image_2d,scene_classification
env.ae.low_texture_complexity,image_2d,ocr_text
env.ae.metal_prominent,image_2d,scene_classification
env.ae.monochrome/minimal_palette,image_2d,scene_classification
env.ae.natural/earthy_palette,image_2d,scene_classification
env.ae.nature_imagery,image_2d,scene_classification
env.ae.open_plan,image_2d,scene_classification
env.ae.open_windows,image_2d,scene_classification
env.ae.soft_seating,image_2d,scene_classification
env.ae.sparse_occupancy,image_2d,scene_classification
env.ae.stone/marble_prominent,image_2d,scene_classification
env.ae.strong_verticality,image_2d,scene_classification
env.ae.surveillance_/_cameras_visible,image_2d,scene_classification
env.ae.textiles/soft_furnishings,image_2d,ocr_text
env.ae.visible_dirt/decay,image_2d,scene_classification
env.ae.visible_windows,image_2d,scene_classification
env.ae.warm_color_palette,image_2d,scene_classification
env.ae.well_maintained,image_2d,scene_classification
env.ae.wood_prominent,image_2d,scene_classification
env.ae.work_surfaces_present,image_2d,scene_classification
env.ae.worn/degraded,image_2d,scene_classification
affordance.isovist_area,image_3d,depth_estimation;layout_estimation;multi_view_geometry
affordance.seating_count,image_3d,depth_estimation;layout_estimation;multi_view_geometry
arch.pattern.axial_circulation_clear,image_3d,depth_estimation;layout_estimation;multi_view_geometry
arch.pattern.bay_window,image_3d,depth_estimation;layout_estimation;multi_view_geometry
arch.pattern.central_hearth,image_3d,depth_estimation;layout_estimation;multi_view_geometry
arch.pattern.circulation_maze_like,image_3d,depth_estimation;layout_estimation;multi_view_geometry
arch.pattern.colonnade,image_3d,depth_estimation;layout_estimation;multi_view_geometry
arch.pattern.corner_window,image_3d,depth_estimation;layout_estimation;multi_view_geometry
arch.pattern.daylight_hard,image_3d,depth_estimation;layout_estimation;multi_view_geometry
arch.pattern.daylight_soft,image_3d,depth_estimation;layout_estimation;multi_view_geometry
arch.pattern.double_height_space,image_3d,depth_estimation;layout_estimation;multi_view_geometry
arch.pattern.gallery_edge,image_3d,depth_estimation;layout_estimation;multi_view_geometry
arch.pattern.loft_mezzanine,image_3d,depth_estimation;layout_estimation;multi_view_geometry
arch.pattern.long_view_corridor,image_3d,depth_estimation;layout_estimation;multi_view_geometry
arch.pattern.perimeter_seating,image_3d,depth_estimation;layout_estimation;multi_view_geometry
arch.pattern.prospect_strong,image_3d,depth_estimation;layout_estimation;multi_view_geometry
arch.pattern.refuge_nook,image_3d,depth_estimation;layout_estimation;multi_view_geometry
arch.pattern.refuge_strong,image_3d,depth_estimation;layout_estimation;multi_view_geometry
arch.pattern.skylight_dominant,image_3d,depth_estimation;layout_estimation;multi_view_geometry
arch.pattern.staircase_sculptural,image_3d,depth_estimation;layout_estimation;multi_view_geometry
arch.pattern.threshold_emphasized,image_3d,depth_estimation;layout_estimation;multi_view_geometry
arch.pattern.window_seat_niche,image_3d,depth_estimation;layout_estimation;multi_view_geometry
