tag_id,model_family,feature_signal,threshold,abstain_rule
env.ae.hard_reflective_surfaces,material_reflectance,specular highlight density + glossy surface segmentation,specular_area>=0.20 OR glossy_surface_area>=0.25,"low light, strong glare bloom, heavy occlusion, low resolution"
env.ae.hard_seating,object_detection+material,chairs/benches detected + hard material (wood/metal/plastic),seats>=1 AND hard_material_ratio>=0.6,seating occluded or material uncertain
env.ae.high_texture_complexity,texture_analysis,texture entropy and multi-scale edge density,entropy>=P75 AND edge_density>=P75,motion blur or low-res imagery
env.ae.home-like_decor,style_classification,"residential styling cues (soft furnishings, decor density)",style_confidence>=0.6,mixed-use or staged commercial settings
env.ae.indoor-outdoor_continuity,scene_layout,large openings + continuous flooring + exterior view,opening_width_ratio>=0.25 AND exterior_view_present,single narrow window only
env.ae.institutional_decor,style_classification,"institutional cues (uniform finishes, signage, durable fixtures)",style_confidence>=0.6,small sample or ambiguous setting
env.ae.low_texture_complexity,texture_analysis,low entropy + low edge density,entropy<=P25 AND edge_density<=P25,overexposed or heavily compressed images
env.ae.metal_prominent,material_classification,metal surfaces segmented,metal_area>=0.20,specular ambiguity vs glass
env.ae.monochrome/minimal_palette,color_analysis,low hue variance + low palette diversity,palette_entropy<=P25,color cast or white balance failure
env.ae.natural/earthy_palette,color_analysis,dominant browns/greens/tans,earth_tone_ratio>=0.35,mixed lighting or strong color filters
env.ae.nature_imagery,object_detection+scene,artwork or prints depicting nature,nature_artwork_count>=1,actual windows to nature (not imagery)
env.ae.open_plan,layout_estimation,absence of interior partitions + wide continuous space,partition_density<=P25 AND visible_area_span>=P75,cropped views or narrow FOV
env.ae.open_windows,object_detection,window frames with visible exterior and open state,open_window_count>=1,reflections or curtains obscure state
env.ae.soft_seating,object_detection+material,sofas/armchairs detected + soft fabric/leather,seats>=1 AND soft_material_ratio>=0.6,seating occluded or material uncertain
env.ae.sparse_occupancy,people_detection,people count per visible area,people_count<=1 OR people_density<=0.02 per m^2,crowd occlusion or limited FOV
env.ae.stone/marble_prominent,material_classification,stone/marble surfaces segmented,stone_area>=0.20,patterned porcelain vs stone ambiguity
env.ae.strong_verticality,geometry_lines,dominant vertical line orientation,vertical_line_ratio>=0.6,tilted camera or strong perspective skew
env.ae.surveillance_/_cameras_visible,object_detection,camera housing detected,camera_count>=1,small/low-res ceiling fixtures ambiguous
env.ae.textiles/soft_furnishings,material_classification,fabrics/curtains/rugs detected,textile_area>=0.15,small accents only
env.ae.visible_dirt/decay,defect_detection,"stains, peeling, damage patterns",defect_score>=0.6,low resolution or compression artifacts
env.ae.visible_windows,object_detection,window frames/glazing detected,window_count>=1,ambiguous openings or mirrors
env.ae.warm_color_palette,color_analysis,dominant warm hues / high red-yellow balance,warm_ratio>=0.35,mixed lighting or white balance drift
env.ae.well_maintained,defect_detection,absence of stains/damage + clean surfaces,defect_score<=0.2,insufficient visible surfaces
env.ae.wood_prominent,material_classification,wood surfaces segmented,wood_area>=0.20,strong color cast or low resolution
env.ae.work_surfaces_present,object_detection,desks/tables/counters detected,work_surfaces>=1,partial views with ambiguous surfaces
env.ae.worn/degraded,defect_detection,"wear, scuffing, aging signals",wear_score>=0.6,low lighting or extreme filters
