tag_id,canonical_name,relation_count,audit_alias_count,completeness_score,bucket,missing_fields,has_def_short,has_def_long,alias_count,pos_examples_count,neg_examples_count,scope_includes_count,scope_excludes_count,has_notes_2d,has_notes_3d
affect.cozy,Cozy,0,0,100,P2,,True,True,8,3,3,3,3,True,True
affect.jarring,Jarring,0,0,100,P2,,True,True,8,3,3,3,3,True,True
affect.scary,Scary,0,0,100,P2,,True,True,8,3,3,3,3,True,True
affect.tranquil,Tranquil,0,0,100,P2,,True,True,8,3,3,3,3,True,True
affect.welcoming,Welcoming,0,0,100,P2,,True,True,8,3,3,3,3,True,True
affordance.isovist_area,Isovist Area,0,0,100,P2,,True,True,8,3,3,3,3,True,True
affordance.seating_count,Seating Count,0,0,100,P2,,True,True,8,3,3,3,3,True,True
arch.pattern.axial_circulation_clear,Axial Circulation Clear,0,0,100,P2,,True,True,8,3,3,3,3,True,True
arch.pattern.bay_window,Bay Window,0,0,100,P2,,True,True,8,3,3,3,3,True,True
arch.pattern.central_hearth,Central Hearth,0,0,100,P2,,True,True,8,3,3,3,3,True,True
arch.pattern.circulation_maze_like,Circulation Maze Like,0,0,100,P2,,True,True,8,3,3,3,3,True,True
arch.pattern.colonnade,Colonnade,0,0,100,P2,,True,True,8,3,3,3,3,True,True
arch.pattern.corner_window,Corner Window,0,0,100,P2,,True,True,8,3,3,3,3,True,True
arch.pattern.daylight_hard,Daylight Hard,0,0,100,P2,,True,True,8,3,3,3,3,True,True
arch.pattern.daylight_soft,Daylight Soft,0,0,100,P2,,True,True,8,3,3,3,3,True,True
arch.pattern.double_height_space,Double Height Space,0,0,100,P2,,True,True,8,3,3,3,3,True,True
arch.pattern.gallery_edge,Gallery Edge,0,0,100,P2,,True,True,8,3,3,3,3,True,True
arch.pattern.loft_mezzanine,Loft Mezzanine,0,0,100,P2,,True,True,8,3,3,3,3,True,True
arch.pattern.long_view_corridor,Long View Corridor,0,0,100,P2,,True,True,8,3,3,3,3,True,True
arch.pattern.perimeter_seating,Perimeter Seating,0,0,100,P2,,True,True,8,3,3,3,3,True,True
arch.pattern.prospect_strong,Prospect Strong,0,0,100,P2,,True,True,8,3,3,3,3,True,True
arch.pattern.refuge_nook,Refuge Nook,0,0,100,P2,,True,True,8,3,3,3,3,True,True
arch.pattern.refuge_strong,Refuge Strong,0,0,100,P2,,True,True,8,3,3,3,3,True,True
arch.pattern.skylight_dominant,Skylight Dominant,0,0,100,P2,,True,True,8,3,3,3,3,True,True
arch.pattern.staircase_sculptural,Staircase Sculptural,0,0,100,P2,,True,True,8,3,3,3,3,True,True
arch.pattern.threshold_emphasized,Threshold Emphasized,0,0,100,P2,,True,True,8,3,3,3,3,True,True
arch.pattern.window_seat_niche,Window Seat Niche,0,0,100,P2,,True,True,8,3,3,3,3,True,True
biophilia.plant_count,Plant Count,0,0,100,P2,,True,True,8,3,3,3,3,True,True
cnfa.biophilic.natural_material_ratio,Natural Material Ratio,0,0,100,P2,,True,True,8,3,3,3,3,True,True
cnfa.cognitive.activity_zones_count,Activity Zones Count,0,0,100,P2,,True,True,8,3,3,3,3,True,True
cnfa.cognitive.landmark_salience,Landmark Salience,0,0,100,P2,,True,True,8,3,3,3,3,True,True
cnfa.cognitive.legibility_score,Legibility Score,0,0,100,P2,,True,True,8,3,3,3,3,True,True
cnfa.depth.depth_variance,Depth Variance,0,0,100,P2,,True,True,8,3,3,3,3,True,True
cnfa.depth.mean_depth,Mean Depth,0,0,100,P2,,True,True,8,3,3,3,3,True,True
cnfa.dynamic.optic_flow_magnitude,Optic Flow Magnitude,0,0,100,P2,,True,True,8,3,3,3,3,True,True
cnfa.dynamic.path_glare_max,Path Glare Max,0,0,100,P2,,True,True,8,3,3,3,3,True,True
cnfa.dynamic.reflection_flow,Reflection Flow,0,0,100,P2,,True,True,8,3,3,3,3,True,True
cnfa.dynamic.revelation_rate,Revelation Rate,0,0,100,P2,,True,True,8,3,3,3,3,True,True
cnfa.dynamic.texture_gradient,Texture Gradient,0,0,100,P2,,True,True,8,3,3,3,3,True,True
cnfa.fluency.anomaly_count,Anomaly Count,0,0,100,P2,,True,True,8,3,3,3,3,True,True
cnfa.fluency.autoencoder_recon_error,Autoencoder Recon Error,0,0,100,P2,,True,True,8,3,3,3,3,True,True
cnfa.fluency.clutter_density_count,Clutter Density Count,0,0,100,P2,,True,True,8,3,3,3,3,True,True
cnfa.fluency.color_palette_entropy,Color Palette Entropy,0,0,100,P2,,True,True,8,3,3,3,3,True,True
cnfa.fluency.compression_ratio,Compression Ratio,0,0,100,P2,,True,True,8,3,3,3,3,True,True
cnfa.fluency.edge_clarity_mean,Edge Clarity Mean,0,0,100,P2,,True,True,8,3,3,3,3,True,True
cnfa.fluency.figure_ground_clarity,Figure Ground Clarity,0,0,100,P2,,True,True,8,3,3,3,3,True,True
cnfa.fluency.hierarchy_depth,Hierarchy Depth,0,0,100,P2,,True,True,8,3,3,3,3,True,True
cnfa.fluency.map.edge_density,Edge Density,0,0,100,P2,,True,True,8,3,3,3,3,True,True
cnfa.fluency.map.fractal_dimension,Fractal Dimension,0,0,100,P2,,True,True,8,3,3,3,3,True,True
cnfa.fluency.map.spatial_entropy,Spatial Entropy,0,0,100,P2,,True,True,8,3,3,3,3,True,True
cnfa.fluency.map.symmetry,Symmetry,0,0,100,P2,,True,True,8,3,3,3,3,True,True
cnfa.fluency.pattern_rhythm_regularity,Pattern Rhythm Regularity,0,0,100,P2,,True,True,8,3,3,3,3,True,True
cnfa.fluency.processing_load_proxy,Processing Load Proxy,0,0,100,P2,,True,True,8,3,3,3,3,True,True
cnfa.fluency.surprisal_mean,Surprisal Mean,0,0,100,P2,,True,True,8,3,3,3,3,True,True
cnfa.fluency.symmetry_score_horizontal,Symmetry Score Horizontal,0,0,100,P2,,True,True,8,3,3,3,3,True,True
cnfa.fluency.visual_entropy_spatial,Visual Entropy Spatial,0,0,100,P2,,True,True,8,3,3,3,3,True,True
cnfa.fluency.zoning_clarity,Zoning Clarity,0,0,100,P2,,True,True,8,3,3,3,3,True,True
cnfa.fractal.lacunarity,Lacunarity,0,0,100,P2,,True,True,8,3,3,3,3,True,True
cnfa.fractal.multifractal_width,Multifractal Width,0,0,100,P2,,True,True,8,3,3,3,3,True,True
cnfa.fractal.spectral_slope_1overf,Spectral Slope 1Overf,0,0,100,P2,,True,True,8,3,3,3,3,True,True
cnfa.fractal_dimension,Fractal Dimension,0,0,100,P2,,True,True,8,3,3,3,3,True,True
cnfa.fractal_dimension_edges,Fractal Dimension Edges,0,0,100,P2,,True,True,8,3,3,3,3,True,True
cnfa.fractal_dimension_luminance,Fractal Dimension Luminance,0,0,100,P2,,True,True,8,3,3,3,3,True,True
cnfa.geometry.curvature_index,Curvature Index,0,0,100,P2,,True,True,8,3,3,3,3,True,True
cnfa.geometry.fractal_curve_intersection,Fractal Curve Intersection,0,0,100,P2,,True,True,8,3,3,3,3,True,True
cnfa.geometry.rectilinearity_index,Rectilinearity Index,0,0,100,P2,,True,True,8,3,3,3,3,True,True
cnfa.haptic.soft_surface_ratio,Soft Surface Ratio,0,0,100,P2,,True,True,8,3,3,3,3,True,True
cnfa.haptic.texture_variation_index,Texture Variation Index,0,0,100,P2,,True,True,8,3,3,3,3,True,True
cnfa.layout.opening_ratio,Opening Ratio,0,0,100,P2,,True,True,8,3,3,3,3,True,True
cnfa.light.brightness_variance,Brightness Variance,0,0,100,P2,,True,True,8,3,3,3,3,True,True
cnfa.light.diffuse_vs_direct_ratio,Diffuse Vs Direct Ratio,0,0,100,P2,,True,True,8,3,3,3,3,True,True
cnfa.light.vertical_illuminance_proxy,Vertical Illuminance Proxy,0,0,100,P2,,True,True,8,3,3,3,3,True,True
cnfa.light.warm_vs_cool_ratio,Warm Vs Cool Ratio,0,0,100,P2,,True,True,8,3,3,3,3,True,True
cnfa.spatial.ceiling_height_avg,Ceiling Height Avg,0,0,100,P2,,True,True,8,3,3,3,3,True,True
cnfa.spatial.enclosure_index,Enclosure Index,0,0,100,P2,,True,True,8,3,3,3,3,True,True
cnfa.spatial.prospect_to_refuge_ratio,Prospect To Refuge Ratio,0,0,100,P2,,True,True,8,3,3,3,3,True,True
cognitive.coherence,Coherence,0,0,100,P2,,True,True,8,3,3,3,3,True,True
cognitive.complexity,Complexity,0,0,100,P2,,True,True,8,3,3,3,3,True,True
cognitive.error,Error,0,0,100,P2,,True,True,8,3,3,3,3,True,True
cognitive.legibility,Legibility,0,0,100,P2,,True,True,8,3,3,3,3,True,True
cognitive.mystery,Mystery,0,0,100,P2,,True,True,8,3,3,3,3,True,True
cognitive.restoration,Restoration,0,0,100,P2,,True,True,8,3,3,3,3,True,True
color.lab_volume,Lab Volume,0,0,100,P2,,True,True,8,3,3,3,3,True,True
color.lightness_contrast,Lightness Contrast,0,0,100,P2,,True,True,8,3,3,3,3,True,True
color.luminance,Luminance,0,0,100,P2,,True,True,8,3,3,3,3,True,True
color.perceptual_lightness,Perceptual Lightness,0,0,100,P2,,True,True,8,3,3,3,3,True,True
color.saturation,Saturation,0,0,100,P2,,True,True,8,3,3,3,3,True,True
color.warmth,Warmth,0,0,100,P2,,True,True,8,3,3,3,3,True,True
color.warmth_ratio,Warmth Ratio,0,0,100,P2,,True,True,8,3,3,3,3,True,True
complexity.edge_density,Edge Density,0,0,100,P2,,True,True,8,3,3,3,3,True,True
complexity.shannon_entropy,Shannon Entropy,0,0,100,P2,,True,True,8,3,3,3,3,True,True
complexity.spatial_entropy,Spatial Entropy,0,0,100,P2,,True,True,8,3,3,3,3,True,True
component.bathroom.fixture.material.brass,Brass,0,0,100,P2,,True,True,8,3,3,3,3,True,True
component.bathroom.fixture.material.matte_black,Matte Black,0,0,100,P2,,True,True,8,3,3,3,3,True,True
component.bathroom.fixture.type.rain_showerhead,Rain Showerhead,0,0,100,P2,,True,True,8,3,3,3,3,True,True
component.ceiling.coffered,Coffered,0,0,100,P2,,True,True,8,3,3,3,3,True,True
component.ceiling.cove_lighting,Cove Lighting,0,0,100,P2,,True,True,8,3,3,3,3,True,True
component.ceiling.exposed_beam,Exposed Beam,0,0,100,P2,,True,True,8,3,3,3,3,True,True
component.ceiling.tray,Tray,0,0,100,P2,,True,True,8,3,3,3,3,True,True
component.ceiling.vaulted,Vaulted,0,0,100,P2,,True,True,8,3,3,3,3,True,True
component.kitchen.hardware.material.brass,Brass,0,0,100,P2,,True,True,8,3,3,3,3,True,True
component.kitchen.hardware.material.chrome,Chrome,0,0,100,P2,,True,True,8,3,3,3,3,True,True
component.kitchen.hardware.material.matte_black,Matte Black,0,0,100,P2,,True,True,8,3,3,3,3,True,True
component.kitchen.hardware.type.bar_pull,Bar Pull,0,0,100,P2,,True,True,8,3,3,3,3,True,True
component.kitchen.hardware.type.handleless,Handleless,0,0,100,P2,,True,True,8,3,3,3,3,True,True
component.kitchen.hardware.type.knob,Knob,0,0,100,P2,,True,True,8,3,3,3,3,True,True
component.wall.material.brick_exposed,Brick Exposed,0,0,100,P2,,True,True,8,3,3,3,3,True,True
component.wall.material.stone_wall,Stone Wall,0,0,100,P2,,True,True,8,3,3,3,3,True,True
component.wall.material.wood_slat,Wood Slat,0,0,100,P2,,True,True,8,3,3,3,3,True,True
component.wall.treatment.wainscoting,Wainscoting,0,0,100,P2,,True,True,8,3,3,3,3,True,True
component.wall.treatment.wallpaper_patterned,Wallpaper Patterned,0,0,100,P2,,True,True,8,3,3,3,3,True,True
env.ae.artworks_prominent,Artworks Prominent,2,11,100,P2,,True,True,11,3,3,4,3,True,True
env.ae.barriers/guards_present,Barriers/Guards Present,2,11,100,P2,,True,True,11,3,3,5,3,True,True
