tag_id,model_family,model_task,inputs,outputs,metric,threshold,abstain_rule
affordance.isovist_area,spatial_metrics;isovist,isovist / affordance metrics,depth or 3D layout,isovist metrics,MAE / correlation,metric_confidence>=0.6,no depth/layout data
affordance.seating_count,spatial_metrics;isovist,isovist / affordance metrics,depth or 3D layout,isovist metrics,MAE / correlation,metric_confidence>=0.6,no depth/layout data
arch.pattern.axial_circulation_clear,layout_estimation;geometry_lines,layout_estimation + line orientation,image + depth,"layout_lines, line_hist",IoU + AUC,pattern_confidence>=0.6,single narrow view or missing depth cues
arch.pattern.bay_window,layout_estimation;geometry_lines,layout_estimation + line orientation,image + depth,"layout_lines, line_hist",IoU + AUC,pattern_confidence>=0.6,single narrow view or missing depth cues
arch.pattern.central_hearth,layout_estimation;geometry_lines,layout_estimation + line orientation,image + depth,"layout_lines, line_hist",IoU + AUC,pattern_confidence>=0.6,single narrow view or missing depth cues
arch.pattern.circulation_maze_like,layout_estimation;geometry_lines,layout_estimation + line orientation,image + depth,"layout_lines, line_hist",IoU + AUC,pattern_confidence>=0.6,single narrow view or missing depth cues
arch.pattern.colonnade,layout_estimation;geometry_lines,layout_estimation + line orientation,image + depth,"layout_lines, line_hist",IoU + AUC,pattern_confidence>=0.6,single narrow view or missing depth cues
arch.pattern.corner_window,layout_estimation;geometry_lines,layout_estimation + line orientation,image + depth,"layout_lines, line_hist",IoU + AUC,pattern_confidence>=0.6,single narrow view or missing depth cues
arch.pattern.daylight_hard,layout_estimation;geometry_lines,layout_estimation + line orientation,image + depth,"layout_lines, line_hist",IoU + AUC,pattern_confidence>=0.6,single narrow view or missing depth cues
arch.pattern.daylight_soft,layout_estimation;geometry_lines,layout_estimation + line orientation,image + depth,"layout_lines, line_hist",IoU + AUC,pattern_confidence>=0.6,single narrow view or missing depth cues
arch.pattern.double_height_space,layout_estimation;geometry_lines,layout_estimation + line orientation,image + depth,"layout_lines, line_hist",IoU + AUC,pattern_confidence>=0.6,single narrow view or missing depth cues
arch.pattern.gallery_edge,layout_estimation;geometry_lines,layout_estimation + line orientation,image + depth,"layout_lines, line_hist",IoU + AUC,pattern_confidence>=0.6,single narrow view or missing depth cues
arch.pattern.loft_mezzanine,layout_estimation;geometry_lines,layout_estimation + line orientation,image + depth,"layout_lines, line_hist",IoU + AUC,pattern_confidence>=0.6,single narrow view or missing depth cues
arch.pattern.long_view_corridor,layout_estimation;geometry_lines,layout_estimation + line orientation,image + depth,"layout_lines, line_hist",IoU + AUC,pattern_confidence>=0.6,single narrow view or missing depth cues
arch.pattern.perimeter_seating,layout_estimation;geometry_lines,layout_estimation + line orientation,image + depth,"layout_lines, line_hist",IoU + AUC,pattern_confidence>=0.6,single narrow view or missing depth cues
arch.pattern.prospect_strong,layout_estimation;geometry_lines,layout_estimation + line orientation,image + depth,"layout_lines, line_hist",IoU + AUC,pattern_confidence>=0.6,single narrow view or missing depth cues
arch.pattern.refuge_nook,layout_estimation;geometry_lines,layout_estimation + line orientation,image + depth,"layout_lines, line_hist",IoU + AUC,pattern_confidence>=0.6,single narrow view or missing depth cues
arch.pattern.refuge_strong,layout_estimation;geometry_lines,layout_estimation + line orientation,image + depth,"layout_lines, line_hist",IoU + AUC,pattern_confidence>=0.6,single narrow view or missing depth cues
arch.pattern.skylight_dominant,layout_estimation;geometry_lines,layout_estimation + line orientation,image + depth,"layout_lines, line_hist",IoU + AUC,pattern_confidence>=0.6,single narrow view or missing depth cues
arch.pattern.staircase_sculptural,layout_estimation;geometry_lines,layout_estimation + line orientation,image + depth,"layout_lines, line_hist",IoU + AUC,pattern_confidence>=0.6,single narrow view or missing depth cues
arch.pattern.threshold_emphasized,layout_estimation;geometry_lines,layout_estimation + line orientation,image + depth,"layout_lines, line_hist",IoU + AUC,pattern_confidence>=0.6,single narrow view or missing depth cues
arch.pattern.window_seat_niche,layout_estimation;geometry_lines,layout_estimation + line orientation,image + depth,"layout_lines, line_hist",IoU + AUC,pattern_confidence>=0.6,single narrow view or missing depth cues
biophilia.plant_count,object_detection;depth_estimation,object detection + depth context,image + depth,objects + depth stats,mAP + depth RMSE,plant_area>=0.15 AND depth_confidence>=0.6,occluded vegetation or limited FOV
color.lightness_contrast,color_estimation;photometric_metrics,color estimation with illumination correction,image + calibration,color metrics,MAE,color_confidence>=0.6,uncalibrated lighting or heavy color cast
color.luminance,color_estimation;photometric_metrics,color estimation with illumination correction,image + calibration,color metrics,MAE,color_confidence>=0.6,uncalibrated lighting or heavy color cast
color.perceptual_lightness,color_estimation;photometric_metrics,color estimation with illumination correction,image + calibration,color metrics,MAE,color_confidence>=0.6,uncalibrated lighting or heavy color cast
color.saturation,color_estimation;photometric_metrics,color estimation with illumination correction,image + calibration,color metrics,MAE,color_confidence>=0.6,uncalibrated lighting or heavy color cast
color.warmth,color_estimation;photometric_metrics,color estimation with illumination correction,image + calibration,color metrics,MAE,color_confidence>=0.6,uncalibrated lighting or heavy color cast
color.warmth_ratio,color_estimation;photometric_metrics,color estimation with illumination correction,image + calibration,color metrics,MAE,color_confidence>=0.6,uncalibrated lighting or heavy color cast
component.bathroom.fixture.material.brass,object_detection;depth_estimation,object detection + depth context,image + depth,objects + depth stats,mAP + depth RMSE,object_confidence>=0.6,object partially visible
component.bathroom.fixture.material.matte_black,object_detection;depth_estimation,object detection + depth context,image + depth,objects + depth stats,mAP + depth RMSE,object_confidence>=0.6,object partially visible
component.bathroom.fixture.type.rain_showerhead,object_detection;depth_estimation,object detection + depth context,image + depth,objects + depth stats,mAP + depth RMSE,object_confidence>=0.6,object partially visible
component.ceiling.coffered,object_detection;depth_estimation,object detection + depth context,image + depth,objects + depth stats,mAP + depth RMSE,object_confidence>=0.6,object partially visible
component.ceiling.cove_lighting,object_detection;depth_estimation,object detection + depth context,image + depth,objects + depth stats,mAP + depth RMSE,object_confidence>=0.6,object partially visible
component.ceiling.exposed_beam,object_detection;depth_estimation,object detection + depth context,image + depth,objects + depth stats,mAP + depth RMSE,object_confidence>=0.6,object partially visible
component.ceiling.tray,object_detection;depth_estimation,object detection + depth context,image + depth,objects + depth stats,mAP + depth RMSE,object_confidence>=0.6,object partially visible
component.ceiling.vaulted,object_detection;depth_estimation,object detection + depth context,image + depth,objects + depth stats,mAP + depth RMSE,object_confidence>=0.6,object partially visible
component.kitchen.hardware.material.brass,object_detection;depth_estimation,object detection + depth context,image + depth,objects + depth stats,mAP + depth RMSE,object_confidence>=0.6,object partially visible
component.kitchen.hardware.material.chrome,object_detection;depth_estimation,object detection + depth context,image + depth,objects + depth stats,mAP + depth RMSE,object_confidence>=0.6,object partially visible
component.kitchen.hardware.material.matte_black,object_detection;depth_estimation,object detection + depth context,image + depth,objects + depth stats,mAP + depth RMSE,object_confidence>=0.6,object partially visible
component.kitchen.hardware.type.bar_pull,object_detection;depth_estimation,object detection + depth context,image + depth,objects + depth stats,mAP + depth RMSE,object_confidence>=0.6,object partially visible
component.kitchen.hardware.type.handleless,object_detection;depth_estimation,object detection + depth context,image + depth,objects + depth stats,mAP + depth RMSE,object_confidence>=0.6,object partially visible
component.kitchen.hardware.type.knob,object_detection;depth_estimation,object detection + depth context,image + depth,objects + depth stats,mAP + depth RMSE,object_confidence>=0.6,object partially visible
component.wall.material.brick_exposed,object_detection;depth_estimation,object detection + depth context,image + depth,objects + depth stats,mAP + depth RMSE,object_confidence>=0.6,object partially visible
component.wall.material.stone_wall,object_detection;depth_estimation,object detection + depth context,image + depth,objects + depth stats,mAP + depth RMSE,object_confidence>=0.6,object partially visible
component.wall.material.wood_slat,object_detection;depth_estimation,object detection + depth context,image + depth,objects + depth stats,mAP + depth RMSE,object_confidence>=0.6,object partially visible
component.wall.treatment.wainscoting,object_detection;depth_estimation,object detection + depth context,image + depth,objects + depth stats,mAP + depth RMSE,object_confidence>=0.6,object partially visible
component.wall.treatment.wallpaper_patterned,object_detection;depth_estimation,object detection + depth context,image + depth,objects + depth stats,mAP + depth RMSE,object_confidence>=0.6,object partially visible
