tag_id,phase,evidence_type,label_type,evidence_required,negative_samples,confusable_tags
env.ae.artworks_prominent,phase_1_image_3d,image_3d,binary + confidence,multi-view or depth,include spatially similar but absent cases,list top 3 likely confusions
env.ae.barriers/guards_present,phase_1_image_3d,image_3d,binary + confidence,multi-view or depth,include spatially similar but absent cases,list top 3 likely confusions
env.ae.clear_circulation_paths,phase_1_image_3d,image_3d,binary + confidence,multi-view or depth,include spatially similar but absent cases,list top 3 likely confusions
env.ae.clear_sightlines,phase_1_image_3d,image_3d,binary + confidence,multi-view or depth,include spatially similar but absent cases,list top 3 likely confusions
env.ae.compartmentalized_plan,phase_1_image_3d,image_3d,binary + confidence,multi-view or depth,include spatially similar but absent cases,list top 3 likely confusions
env.ae.complex_geometry,phase_1_image_3d,image_3d,binary + confidence,multi-view or depth,include spatially similar but absent cases,list top 3 likely confusions
env.ae.concrete_prominent,phase_1_image_3d,image_3d,binary + confidence,multi-view or depth,include spatially similar but absent cases,list top 3 likely confusions
env.ae.cool_color_palette,phase_1_image_3d,image_3d,binary + confidence,multi-view or depth,include spatially similar but absent cases,list top 3 likely confusions
env.ae.curvilinear_forms,phase_1_image_3d,image_3d,binary + confidence,multi-view or depth,include spatially similar but absent cases,list top 3 likely confusions
env.ae.daylighting,phase_1_image_3d,image_3d,binary + confidence,multi-view or depth,include spatially similar but absent cases,list top 3 likely confusions
env.ae.fans_visible,phase_1_image_3d,image_3d,binary + confidence,multi-view or depth,include spatially similar but absent cases,list top 3 likely confusions
env.ae.glass_prominent,phase_1_image_3d,image_3d,binary + confidence,multi-view or depth,include spatially similar but absent cases,list top 3 likely confusions
env.ae.high_color_entropy,phase_1_image_3d,image_3d,binary + confidence,multi-view or depth,include spatially similar but absent cases,list top 3 likely confusions
env.ae.high_edge_density,phase_1_image_3d,image_3d,binary + confidence,multi-view or depth,include spatially similar but absent cases,list top 3 likely confusions
env.ae.high_seating_density,phase_1_image_3d,image_3d,binary + confidence,multi-view or depth,include spatially similar but absent cases,list top 3 likely confusions
env.ae.indoor_plants,phase_1_image_3d,image_3d,binary + confidence,multi-view or depth,include spatially similar but absent cases,list top 3 likely confusions
env.ae.large_enclosure_volume,phase_1_image_3d,image_3d,binary + confidence,multi-view or depth,include spatially similar but absent cases,list top 3 likely confusions
env.ae.large_window_area,phase_1_image_3d,image_3d,binary + confidence,multi-view or depth,include spatially similar but absent cases,list top 3 likely confusions
env.ae.low_edge_density,phase_1_image_3d,image_3d,binary + confidence,multi-view or depth,include spatially similar but absent cases,list top 3 likely confusions
env.ae.low_spatial_frequency_content,phase_1_image_3d,image_3d,binary + confidence,multi-view or depth,include spatially similar but absent cases,list top 3 likely confusions
env.ae.naturalistic_forms,phase_1_image_3d,image_3d,binary + confidence,multi-view or depth,include spatially similar but absent cases,list top 3 likely confusions
env.ae.rectilinear_forms,phase_1_image_3d,image_3d,binary + confidence,multi-view or depth,include spatially similar but absent cases,list top 3 likely confusions
env.ae.repeating_pattern,phase_1_image_3d,image_3d,binary + confidence,multi-view or depth,include spatially similar but absent cases,list top 3 likely confusions
env.ae.strong_horizontality,phase_1_image_3d,image_3d,binary + confidence,multi-view or depth,include spatially similar but absent cases,list top 3 likely confusions
env.ae.view_to_outdoors,phase_1_image_3d,image_3d,binary + confidence,multi-view or depth,include spatially similar but absent cases,list top 3 likely confusions
affordance.isovist_area,phase_1_image_3d,image_3d,binary + confidence,multi-view or depth,include spatially similar but absent cases,list top 3 likely confusions
affordance.seating_count,phase_1_image_3d,image_3d,binary + confidence,multi-view or depth,include spatially similar but absent cases,list top 3 likely confusions
arch.pattern.axial_circulation_clear,phase_1_image_3d,image_3d,binary + confidence,multi-view or depth,include spatially similar but absent cases,list top 3 likely confusions
arch.pattern.bay_window,phase_1_image_3d,image_3d,binary + confidence,multi-view or depth,include spatially similar but absent cases,list top 3 likely confusions
arch.pattern.central_hearth,phase_1_image_3d,image_3d,binary + confidence,multi-view or depth,include spatially similar but absent cases,list top 3 likely confusions
