tag_id,canonical_name,namespace,extractability_class,sources,relation_count
affect.cozy,Cozy,affect,mixed_metadata,metadata_reported;visual_3d,0
affect.jarring,Jarring,affect,mixed_metadata,metadata_reported;visual_3d,0
affect.scary,Scary,affect,mixed_metadata,metadata_reported;visual_3d,0
affect.tranquil,Tranquil,affect,mixed_metadata,metadata_reported;visual_3d,0
affect.welcoming,Welcoming,affect,mixed_metadata,metadata_reported;visual_3d,0
affordance.isovist_area,Isovist Area,affordance,mixed_visual,visual_2d;visual_3d,0
affordance.seating_count,Seating Count,affordance,mixed_visual,visual_2d;visual_3d,0
arch.pattern.axial_circulation_clear,Axial Circulation Clear,arch,mixed_visual,visual_2d;visual_3d,0
arch.pattern.bay_window,Bay Window,arch,mixed_visual,visual_2d;visual_3d,0
arch.pattern.central_hearth,Central Hearth,arch,mixed_visual,visual_2d;visual_3d,0
arch.pattern.circulation_maze_like,Circulation Maze Like,arch,mixed_visual,visual_2d;visual_3d,0
arch.pattern.colonnade,Colonnade,arch,mixed_visual,visual_2d;visual_3d,0
arch.pattern.corner_window,Corner Window,arch,mixed_visual,visual_2d;visual_3d,0
arch.pattern.daylight_hard,Daylight Hard,arch,mixed_visual,visual_2d;visual_3d,0
arch.pattern.daylight_soft,Daylight Soft,arch,mixed_visual,visual_2d;visual_3d,0
arch.pattern.double_height_space,Double Height Space,arch,mixed_visual,visual_2d;visual_3d,0
arch.pattern.gallery_edge,Gallery Edge,arch,mixed_visual,visual_2d;visual_3d,0
arch.pattern.loft_mezzanine,Loft Mezzanine,arch,mixed_visual,visual_2d;visual_3d,0
arch.pattern.long_view_corridor,Long View Corridor,arch,mixed_visual,visual_2d;visual_3d,0
arch.pattern.perimeter_seating,Perimeter Seating,arch,mixed_visual,visual_2d;visual_3d,0
arch.pattern.prospect_strong,Prospect Strong,arch,mixed_visual,visual_2d;visual_3d,0
arch.pattern.refuge_nook,Refuge Nook,arch,mixed_visual,visual_2d;visual_3d,0
arch.pattern.refuge_strong,Refuge Strong,arch,mixed_visual,visual_2d;visual_3d,0
arch.pattern.skylight_dominant,Skylight Dominant,arch,mixed_visual,visual_2d;visual_3d,0
arch.pattern.staircase_sculptural,Staircase Sculptural,arch,mixed_visual,visual_2d;visual_3d,0
arch.pattern.threshold_emphasized,Threshold Emphasized,arch,mixed_visual,visual_2d;visual_3d,0
arch.pattern.window_seat_niche,Window Seat Niche,arch,mixed_visual,visual_2d;visual_3d,0
biophilia.plant_count,Plant Count,biophilia,mixed_visual,visual_2d;visual_3d,0
cnfa.biophilic.natural_material_ratio,Natural Material Ratio,cnfa,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
cnfa.cognitive.activity_zones_count,Activity Zones Count,cnfa,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
cnfa.cognitive.landmark_salience,Landmark Salience,cnfa,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
cnfa.cognitive.legibility_score,Legibility Score,cnfa,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
cnfa.depth.depth_variance,Depth Variance,cnfa,mixed_sensor,computed_metric;sensor_required;visual_2d;visual_3d,0
